frame,t_s,torso_lean_deg,torso_up,hip_y,l_hip_pitch_deg,l_knee_deg,l_shoulder_pitch_deg,l_elbow_deg,r_hip_pitch_deg,r_knee_deg,r_shoulder_pitch_deg,r_elbow_deg
181,6.0333,-44.7696,0.7006,-0.0034,19.4993,74.9407,-99.4317,2.1685,28.5991,91.5275,-86.5504,28.3276
182,6.0667,-44.6440,0.7014,-0.0034,19.7615,75.1871,-101.3380,6.6407,28.7803,91.6244,-87.3335,27.7737
183,6.1000,-45.7268,0.6905,-0.0034,18.6747,74.9170,-100.6148,5.9031,27.0674,91.2179,-91.3200,26.3065
184,6.1333,-45.7020,0.6910,-0.0036,16.1754,71.8637,-120.9930,54.5209,25.2379,86.3917,-114.7411,50.1170
185,6.1667,-46.6509,0.6811,-0.0036,16.5765,72.2016,-104.1866,2.3481,24.9881,89.1961,-125.9988,4.7285
186,6.2000,-45.5460,0.6902,-0.0038,17.5208,71.1145,-106.0081,4.5145,23.2896,84.6089,-173.0721,93.9500
187,6.2333,-43.3899,0.7188,-0.0036,19.9092,71.3958,-100.8160,4.8483,25.5932,85.6947,-126.9641,81.1758
188,6.2667,-44.9563,0.6936,-0.0036,15.8973,70.2261,-110.1779,14.0266,23.1057,83.9112,-90.6281,12.3216
189,6.3000,-46.9328,0.6751,-0.0036,13.8804,69.1410,-101.3132,8.6209,22.0328,85.5615,-102.0996,11.5150
190,6.3333,-46.9782,0.6752,-0.0036,13.9941,68.7234,-99.6879,5.9682,22.8788,86.6707,-108.4633,2.2970
191,6.3667,-47.1269,0.6758,-0.0036,13.1917,67.2672,-98.8247,7.0860,21.8745,85.1794,-113.7948,19.0677
192,6.4000,-48.0091,0.6636,-0.0036,12.9196,67.4228,-99.6520,1.3439,22.1021,87.0029,-104.0672,15.3716
193,6.4333,-48.2174,0.6597,-0.0036,12.7812,67.6231,-99.4739,1.2222,22.1127,88.1042,-101.9484,17.9242
194,6.4667,-46.7021,0.6776,-0.0036,12.1808,67.3394,-112.5995,80.1384,22.9151,85.2328,-103.6463,36.5849
195,6.5000,-47.1200,0.6717,-0.0036,14.3325,70.7067,-103.6730,1.7686,25.0302,89.3913,-96.0395,19.9926
196,6.5333,-44.1041,0.7085,-0.0035,17.9886,71.5395,-97.6434,4.0270,28.4131,91.1482,-90.4715,22.8853
197,6.5667,-44.1069,0.7098,-0.0035,18.0052,71.8050,-91.2731,0.8853,28.0935,90.3578,-88.5122,21.1252
198,6.6000,-44.3165,0.7019,-0.0035,18.0346,71.7332,-104.9081,67.6752,27.4972,88.6922,-87.9569,23.6982
199,6.6333,-45.2744,0.6994,-0.0035,16.9201,69.0788,-96.7519,0.8437,26.0515,88.5429,-96.1790,42.7968
200,6.6667,-45.3587,0.6966,-0.0035,17.3428,70.6334,-97.0530,1.9701,26.2115,88.9271,-89.9600,27.2699
